OriginalEntityId,COUNTRY,Name,RiskScore
B007,Brazil,Alianca Social Brasileira,19
U007,USA,American Care Alliance,51
U003,USA,American Heart of Service,37
U014,USA,American Wellness Partners,17
S149,Spain,Asociacian de Bienestar Integral,30
S159,Spain,Asociacian de Bienestar Social,26
S179,Spain,Asociacian de Salud Integral,53
S199,Spain,Asociacian de Salud y Vida,35
S139,Spain,Asociacian de Vida y Bienestar,27
S209,Spain,Asociacian de Vida y Salud,31
S185,Spain,Asociacian Esperanza para Todos,21
S175,Spain,Asociacian Esperanza Renaciente,35
S195,Spain,Asociacian Esperanza Renueva,22
S125,Spain,Asociacian Esperanza Viva,28
S145,Spain,Asociacian Esperanza y Vida,21
S229,Spain,Asociacian Futuro Salud,7
S132,Spain,Asociacian Nueva Esperanza,52
S142,Spain,Asociacian Nuevas Oportunidades,48
S172,Spain,Asociacian Nuevas Perspectivas,39
S152,Spain,Asociacian Nuevas Vidas,8
S103,Spain,Asociacian Progreso y Salud,27
S129,Spain,Asociacian Progreso y Vida,18
S223,Spain,Asociacian Salud y Futuro,9
S122,Spain,Asociacian Vida Plena,22
S226,Spain,Asociacian Vitalidad,5
S135,Spain,Asociacian Viva la Vida,57
S008,Spain,Asociacion Nueva Luz,54
S012,Spain,Asociacion Progreso Solidario,44
S004,Spain,Asociacion Progreso y Bienestar,31
B005,Brazil,Associacao Nova Esperanca,25
U004,USA,Bright Future Initiative,16
U012,USA,Bright Horizons Health Foundation,45
B223,Brazil,Centro Clanico Rio Grande,55
B004,Brazil,Centro de Acao Humanitaria do Amazonas,5
S010,Spain,Centro de Accion Social Esperanza,46
S003,Spain,Centro de Accion Social Iberia,41
S102,Spain,Centro de Apoyo Esperanza,51
S006,Spain,Centro de Apoyo y Esperanza,49
S176,Spain,Centro de Bienestar Comunitario,24
S206,Spain,Centro de Bienestar Familiar,24
S186,Spain,Centro de Bienestar Integral,10
S196,Spain,Centro de Bienestar Social,31
S146,Spain,Centro de Bienestar y Salud,38
S014,Spain,Centro de Bienestar y Solidaridad,27
S156,Spain,Centro de Bienestar y Vida,24
B229,Brazil,Centro de ReabilitaASSapso Brasil,37
S123,Spain,Centro de Rehabilitacian Esperanza,14
S143,Spain,Centro de Rehabilitacian Integral,53
S173,Spain,Centro de Rehabilitacian Nueva Vida,29
S203,Spain,Centro de Rehabilitacian San Juan,40
S183,Spain,Centro de Rehabilitacian Vida Nueva,23
S153,Spain,Centro de Rehabilitacian y Progreso,52
S133,Spain,Centro de Rehabilitacian y Vida,8
S126,Spain,Centro de Salud Integral,32
S222,Spain,Centro de Salud Vida,54
S136,Spain,Centro de Salud y Esperanza,48
B124,Brazil,Centro Macdico Santa Maria,24
B214,Brazil,Centro Macdico Sapso Gabriel,13
B144,Brazil,Centro Macdico Sapso Joapso,33
B134,Brazil,Centro Macdico Sapso Lucas,13
B194,Brazil,Centro Macdico Sapso Marcos,11
