Country,VendorName,VendorNumber,PaymentCount,PaymentAmount,InvoiceLineAmountLocal,Currency,ThirdPartyPaymentsLineId,GIAccountDescription,PaymentType,PaymentSubtype,BusinessActivity,InvoiceGIDate
Brazil,Alianca Social Brasileira,9990000258,3,999,333,BRL,9990000258,Taxi Fares,CERPS Invoice,Logistics,HCP Fee for Service,12-01-2022
Brazil,Alianca Social Brasileira,9990000258,3,999,333,BRL,9990000258,Vehicle Parking,CERPS Invoice,PaidScholarship,Other HCO Expenditure,12-05-2022
Brazil,Alianca Social Brasileira,9990000258,3,999,333,BRL,9990000258,Vehicle Parking,Monetory TOV,PaidScholarship,Travel Expenses,09-08-2022
Spain,Asociacian de Salud Integral,9990000200,2,14881,7440,EUR,9990000200,Postage & Couriers,CERPS Invoice,N/A,Market Research,22-05-2022
Spain,Asociacian de Salud Integral,9990000200,2,14881,7440,EUR,9990000200,Employee Training,CERPS Invoice,Networking,Travel Expenses,03-06-2023
Spain,Asociacian de Vida y Salud,9990000235,2,14950,7475,EUR,9990000235,Other Travel Cost,CERPS Invoice,PaidTravel Expenses,Market Research,03-01-2022
Spain,Asociacian de Vida y Salud,9990000235,2,14950,7475,EUR,9990000235,Digital Production,Monetory TOV,PaidScholarship,Travel Expenses,12-11-2023
Spain,Asociacian Esperanza para Todos,9990000210,2,17660,8830,EUR,9990000210,Postage & Couriers,CERPS Invoice,Networking,Grants & Donations,01-10-2023
Spain,Asociacian Esperanza para Todos,9990000210,2,17660,8830,EUR,9990000210,Hotel & Accomidation,CERPS Invoice,N/A,Gifts,10-12-2023
Spain,Asociacian Esperanza Renaciente,9990000198,2,1765900,882950,EUR,9990000198,Vehicle Parking,CERPS Invoice,Networking,Gifts,19-05-2022
Spain,Asociacian Esperanza Renaciente,9990000198,2,1765900,882950,EUR,9990000198,Employee Training,Monetory TOV,PaidTravel Expenses,Sponsorships,16-01-2022
Spain,Asociacian Esperanza Renueva,9990000222,2,17661,8830,EUR,9990000222,Vehicle Parking,CERPS Invoice,Networking,Sponsorships,18-07-2022
Spain,Asociacian Esperanza Renueva,9990000222,2,17661,8830,EUR,9990000222,Air Fares,CERPS Invoice,N/A,Travel Expenses,24-12-2022
Spain,Asociacian Salud y Futuro,9990000249,2,36200,18100,EUR,9990000249,Hotel & Accomidation,CERPS Invoice,Networking,HCP Fee for Service,22-11-2022
Spain,Asociacian Salud y Futuro,9990000249,2,36200,18100,EUR,9990000249,Hotel & Accomidation,CERPS Invoice,N/A,Membership Fees,26-03-2023
Spain,Asociacion Nueva Luz,9990000128,2,15543,7771,EUR,9990000128,Taxi Fares,CERPS Invoice,N/A,HCP Fee for Service,10-06-2022
