,country,additional_info,aka,designation,id,link,orgKey,source,hcp_id,hco_id
0,BRAZIL,,,,8824,,,openai,8824,B001
1,BRAZIL,,,,8033,,,openai,8033,B001
2,BRAZIL,,,,8033,,,openai,8033,B002
3,BRAZIL,,,,8037,,,openai,8037,B002
4,BRAZIL,,,,8041,,,openai,8041,B002
5,BRAZIL,,,,8045,,,openai,8045,B005
6,BRAZIL,,,,8045,,,openai,8045,B002
7,BRAZIL,,,,2394,,,openai,2394,B004
8,BRAZIL,,,,2456,,,openai,2456,B004
9,BRAZIL,,,,2553,,,orgIntel,2553,B003
10,BRAZIL,,,,2553,,,orgIntel,2553,B004
11,BRAZIL,,,,2578,,,openai,2578,B004
12,BRAZIL,,,,1298,,,openai,1298,B005
13,BRAZIL,,,,1406,,,openai,1406,B005
14,BRAZIL,,,,1823,,,openai,1823,B007
15,BRAZIL,,,,1823,,,openai,1823,B005
16,BRAZIL,,,,1836,,,openai,1836,B005
17,BRAZIL,,,,1059,,,openai,1059,B007
18,BRAZIL,,,,1137,,,openai,1137,B007
19,BRAZIL,,,,8177,,,orgIntel,8177,B007
20,BRAZIL,,,,8177,,,orgIntel,8177,B008
21,BRAZIL,,,,8181,,,openai,8181,B008
22,BRAZIL,,,,8189,,,openai,8189,B009
23,BRAZIL,,,,8193,,,orgIntel,8193,B009
24,BRAZIL,,,,8197,,,openai,8197,B009
25,BRAZIL,,,,8203,,,openai,8203,B010
26,BRAZIL,,,,8203,,,openai,8203,B009
27,BRAZIL,,,,8215,,,orgIntel,8215,B010
28,BRAZIL,,,,8219,,,openai,8219,B011
29,BRAZIL,,,,8219,,,openai,8219,B010
30,BRAZIL,,,,8223,,,orgIntel,8223,B010
31,BRAZIL,,,,8227,,,openai,8227,B010
32,BRAZIL,,,,8549,,,openai,8549,B011
33,BRAZIL,,,,8551,,,openai,8551,B011
35,BRAZIL,,,,8559,,,openai,8559,B011
36,BRAZIL,,,,8563,,,openai,8563,B011
37,BRAZIL,,,,8025,,,orgIntel,8025,B012
38,BRAZIL,,,,8029,,,openai,8029,B012
39,BRAZIL,,,,8207,,,openai,8207,B013
41,BRAZIL,,,,8800,,,openai,8800,B014
42,BRAZIL,,,,8804,,,openai,8804,B014
43,BRAZIL,,,,8808,,,openai,8808,B014
46,BRAZIL,,,,8820,,,openai,8820,B014
47,BRAZIL,,,,8343,,,openai,8343,B011
48,BRAZIL,,,,8343,,,openai,8343,B015
49,BRAZIL,,,,8347,,,orgIntel,8347,B015
50,BRAZIL,,,,8049,,,openai,8049,B101
51,BRAZIL,,,,8053,,,openai,8053,B101
52,BRAZIL,,,,8505,,,openai,8505,B101
53,BRAZIL,,,,8505,,,openai,8505,B102
54,BRAZIL,,,,8509,,,orgIntel,8509,B102
55,BRAZIL,,,,8513,,,openai,8513,B102
56,BRAZIL,,,,8521,,,orgIntel,8521,B102
57,BRAZIL,,,,8730,,,openai,8730,B102
58,BRAZIL,,,,8730,,,openai,8730,B103
59,BRAZIL,,,,8734,,,openai,8734,B103
60,BRAZIL,,,,8738,,,openai,8738,B103
61,BRAZIL,,,,8742,,,openai,8742,B014
62,BRAZIL,,,,8742,,,openai,8742,B103
63,BRAZIL,,,,8409,,,orgIntel,8409,B121
65,BRAZIL,,,,8417,,,openai,8417,B103
66,BRAZIL,,,,8417,,,openai,8417,B121
67,BRAZIL,,,,8425,,,openai,8425,B121
68,BRAZIL,,,,8425,,,openai,8425,B121
69,BRAZIL,,,,6954,,,openai,6954,B123
70,BRAZIL,,,,6975,,,orgIntel,6975,B123
71,BRAZIL,,,,6984,,,orgIntel,6984,B123
72,BRAZIL,,,,6985,,,openai,6985,B123
73,BRAZIL,,,,2957,,,openai,2957,B124
74,BRAZIL,,,,2974,,,openai,2974,B124
75,BRAZIL,,,,3078,,,openai,3078,B124
76,BRAZIL,,,,3189,,,openai,3189,B124
77,BRAZIL,,,,8613,,,openai,8613,B125
79,BRAZIL,,,,8621,,,openai,8621,B125
80,BRAZIL,,,,8625,,,openai,8625,B125
81,BRAZIL,,,,8429,,,openai,8429,B126
83,BRAZIL,,,,8437,,,openai,8437,B126
84,BRAZIL,,,,8860,,,orgIntel,8860,B127
85,BRAZIL,,,,8864,,,orgIntel,8864,B127
86,BRAZIL,,,,5238,,,openai,5238,B128
